X,y
"a  What about positional uncertainties in S-L 1993e?   I assume we know where and what Galileo is doing within a few meters.   But without the HGA,  don't we have to have some pretty good ideas, of where to look before imaging?  If the HGA was working,  they could slew around in near real time (Less speed of light delay).  But when they were imaging toutatis????  didn't someone have to get lucky on a guess to find the first images?     Also, I imagine S-L 1993e will be mostly a visual image.  so how will that affect the other imaging missions.  with the LGA,  there is a real tight allocation of bandwidth.   It may be premature to hope for answers, but I thought i'd throw it on the floor.",2
I would like to program Tseng ET4000 to nonstandard 1024x768 mode by switching to standard 1024x768 mode using BIOS and than changing some timing details (0x3D4 registers 0x00-0x1F) but I don't know how to select 36 MHz pixel clock I need. The BIOS function selects 40 MHz.  Is there anybody who knows where to obtain technical info about this. I am also interested in any other technical information about Tseng ET4000 and Trident 8900 and 9000 chipsets.  			thanks very much,1
"In-Reply-To: <20APR199312262902@rigel.tamu.edu> lmp8913@rigel.tamu.edu (PRESTON, LISA M)",1
"I'm not sure, but it almost sounds like they can't figure out where the  _nucleus_ is within the coma. If they're off by a couple hundred miles, well, you can imagine the rest...",2
"Hello,      I am looking to add voice input capability to a user interface I am developing on an HP730 (UNIX) workstation.  I would greatly appreciate  information anyone would care to offer about voice input systems that are  easily accessible from the UNIX environment.        The names or adresses of applicable vendors, as well as any  experiences you have had with specific systems, would be very helpful.       Please respond via email; I will post a summary if there is  sufficient interest.   Thanks, Ken   P.S.  I have found several impressive systems for IBM PC's, but I would  like to avoid the hassle of purchasing and maintaining a separate PC if  at all possible.  ------------------------------------------------------------------------------- Ken Hinckley (kph2q@virginia.edu) University of Virginia  Neurosurgical Visualization Laboratory",1
"It was a test of the first reusable tool.   Pointy so they can find them or so they will stick into their pants better, and be closer to their brains?",2
"Size of armies, duration, numbers of casualties both absolute and as a percentage of those involved, geographical area and numbers of countries too, are all measures of size.  In this case I'd say the relevant statistic would be the number of combatants (total troops) compared to total casualties from among the total civilian population in the affected geographical area.   Vietnam and Korea might make good comparisons.   Western news in general, but in particular the American ""mass media"": CBS, NBC, ABC, etc.  The general tone of the news during the whole war was one of ""those poor, poor Iraqis"" along with ""look how precisely this cruise missile blew this building to bits"".   I agree.   Perhaps so.  And maybe the atomic bomb was a mistake too.  But that's easy to say from our ""enlightened"" viewpoint here in the 90's, right?  Back then, it was *all-out* war, and Germany and Japan had to be squashed. After all, a million or more British had already died, hundreds of  thousands of French, a couple hundread thousand or so Americans, and  millions of Russians, not to mention a few million Jews, Poles, and  other people of slavic descent in German concentration camps.  All  things considered, the fire-bombings and the atomic bomb were essential (and therefore justified) in bringing the war to a quick end to avoid even greater allied losses.  I, for one, don't regret it.   Sure.  And it's the people who suffer because of them.  All the more reason to depose these ""entrenched political rulers operating in their own selfish interests""!  Or do you mean that this applies to the allies as well??   I make no claim or effort to justify the misguided foreign policy of the West before the war.  It is evident that the West, especially America, misjudged Hussein drastically.  But once Hussein invaded Kuwait and  threatened to militarily corner a significant portion of the world's oil supply, he had to be stopped.  Sure the war could have been prevented by judicious and concerted effort on the part of the West before Hussein invaded Kuwait, but it is still *Hussein* who is responsible for his decision to invade.  And once he did so, a strong response from the West was required.   Well, it's not very ""loving"" to allow a Hussein or a Hitler to gobble up nearby countries and keep them.  Or to allow them to continue with mass slaughter of certain peoples under their dominion.  So, I'd have to say yes, stopping Hussein was the most ""loving"" thing to do for the most people involved once he set his mind on military conquest.  I mentioned it.  If we hadn't intervened, allowing Hussein to keep Kuwait, then it would have been appeasement.  It is precisely the lessons the world learned in WW2 that motivated the Western alliance to war.  Letting Hitler take Austria and Czechoslavkia did not stop WW2 from happening, and letting Hussein keep Kuwait would not have stopped an eventual Gulf War to protect Saudi Arabia.   Sure.  What was truly unfortunate was that they followed Hitler in his grandiose quest for a ""Thousand Year Reich"".  The consequences stemmed from that.  What should I say about them?  Anything in particular?    So?  It was the *policemen* on trial not Rodney King!!  And under American law they deserved a jury of *their* peers!  If there had been black officers involved, I'm sure their would have been black jurors too. This point (of allegedly racial motivations) is really shallow.   So?  It's ""hard to imagine""?  So when has Argument from Incredulity gained acceptance from the revered author of ""Constructing a Logical Argument""?  Can we expect another revision soon??  :)  (Just kidding.)   I have to admit that I wonder this too.  But *neither* the prosecution nor the defense is talking.  So one cannot conclude either way due to the silence of the principals.     OK.  It certainly seemed to me that there was excessive force involved. And frankly, the original ""not guilty"" verdict baffled me too.  But then I learned that the prosecution in the first case did not try to convict on a charge of excessive force or simple assault which they probably would have won, they tried to get a conviction on a charge of aggravated assault with intent to inflict serious bodily harm.  A charge, which news commentators said, was akin to attempted murder under California law.  Based on what the prosecution was asking for, it's evident that  the first jury decided that the officers were ""not guilty"".  Note,  not ""not guilty"" of doing wrong, but ""not guilty"" of aggravated assault  with the *intent* of inflicting serious bodily harm.  The seeds of the  prosecutions defeat were in their own overconfidence in obtaining a  verdict such that they went for the most extreme charge they could.  If the facts as the news commentators presented them are true, then I feel the ""not guilty"" verdict was a reasonable one.   Thanks mathew, I like the quote.  Pretty funny actually.  (I'm a  Monty Python fan, you know.  Kind of seems in that vein.)  Of course, oversimplifying any moral argument can make it seem contradictory.  But then, you know that already.    Regards,",0
"<stuff deleted>  You mean like: seconds, minutes, hours, days, months, years. . .  :-)  Remember,  the Fahrenheit temperature scale is also a centigrade scale.  Some revisionists tell the history something like this:  The coldest point in a particular Russian winter was marked on the thermometer as was the body temperature of a volunteer (turns out he was sick, but you can't win 'em all). Then the space in between the marks on the thermometer was then divided into hundredths. 								:-)  FWIW,  Doug Page",2
"It wasn't especially prominent, as I recall.  However, quite possibly it's no longer on display; NASM, like most museums, has much more stuff than it can display at once, and does rotate the displays occasionally.",2
"DM> Fact or rumor....?  Madalyn Murray O'Hare an atheist who eliminated the DM> use of the bible reading and prayer in public schools 15 years ago is now DM> going to appear before the FCC with a petition to stop the reading of the DM> Gospel on the airways of America.  And she is also campaigning to remove DM> Christmas programs, songs, etc from the public schools.  If it is true DM> then mail to Federal Communications Commission 1919 H Street Washington DC DM> 20054 expressing your opposition to her request.  Reference Petition number  DM> 2493.  False.  This story has been going around for years.  There's not a drop of truth.  Note that I don't care for O'Hare (O'Hair?) myself, but this is one thing she's not guilty of.",3
"If by that you mean anything on the GD approach, there was an article on it in a recent Avation Week. I don't remember the exact date but it was recent.   Allen",2
"The 68070 is a variation of the 68010 that was done a few years ago by the European partners of Motorola. It has some integrated I/O controllers and half a MMU, but otherwise it's a 68010. Think of it the same as the 8086 and 80186 were.  		Burkhard Neidecker-Lutz",1
PSA 145:9  The LORD is good to all: and his  tender  mercies  are over all his works.,3
"There has been a lot of discussion about Tyre.  In sum, Ezekiel prophesied that the place would be mashed and never rebuilt; as there are a lot of people living there, it would appear that Ezekiel was not literally correct.  This doesn't bother me at all, because I understand the language Ezekiel used differently than do so-called Biblical literalists.  For example, it sometimes happens that someone says ""My grandson is the cutest baby!"" and then turns around and sees the granddaughter and says ""Oh!  Isn't she the cutest thing!?""  This person is not literally claiming to have lined up all the babies in the world according to cuteness and discovered his own grandchildren tied for first.  Rather, he is trying to express his emotions using words that are very object-oriented.  Because this example is one that is common to many people, nobody misunderstands the intent of the statements; the Bible, however, is often at the mercy of people who assume that everything within must be exactly literally true.  For those people, the existence of Tyre is a problem; for me, it is not.   Turning to the latest person trying to defend Ezekiel, we read this from John E King:   No, it implies nothing of the kind.  If you had nothing but the prophecy from Ezekiel, and you were told you interpret it literally, you would never say ""Oh, he means that there will be houses and businesses and plants and stuff like that.""  You would read ""I will make you a bare rock"" and ""You will never be rebuilt"", and you'd conclude that Tyre would be a bare rock.  The only way to get from `fishing nets' to `houses and buildings and a medium-large population' is if you KNOW that all that latter stuff is there.  In other words, your answer means that Ezekiel misled everybody who read the prophecy at the time it was written.  There is no way that, given a literal reading, they could read this passage and conclude ""medium-size city"".  You seem to feel that ""Never be rebuilt"" means ""be rebuilt"" -- maybe so, but it is hardly a `clear implication'.     Well, no.  That's only a bit less than the population of Annapolis, where I'm from.  You know, the Naval Acadamy, the state capital, George Washington resigned his commission in the statehouse?  Annapolis may not be New York, but it's at least a two-horse town.  But supposing 22,000 people is a ""small town"" -- it's still 22,000 people MORE than Ezekiel predicted.   And you've said nothing about the other problem.  In chapter 26, Ezekiel predicts that Nebuchadnezzar will will destroy Tyre and loot all their valuables.  However, Nebuchadnezzar did NOT destroy Tyre, and in chapter 29 Ezekiel even quotes God as saying ""he and his army got no reward from the campaign he led against Tyre.""  Let's ignore Alexander for a moment, and just pay attention to chapter 26. Ezekiel says N. would destroy Tyre, and N. did NOT destroy Tyre.  Ezekiel says that N. would plunder their valuables, but N. did NOT plunder their valuables.  Regardless of what you think about Tyre _now_, the fact is that N. died before the place was destroyed.  Ezekiel said N. was going to do it, and N. did not.   *  This post is, of course, pointless.  Inerrantists have an amazing ability to rewrite the Bible as needed to fit whatever they want it to say.  For example, I expect Mr King to respond to the comments about Ezekiel 26 by pulling some ""clear implications"" out of hat.  When Ezekiel said that N. would ""demolish your towers"", that clearly implied that the walls would still be standing so people would know where the towers used to be.  And when Ezekiel said that N. would ""demolish your fine houses and throw your stones, timber and rubble into the sea"", that clearly implied that N. would never set foot on the island.  And when Ezekiel wrote that N. would ""build a ramp up to your walls"", that clearly implies that N. would spend 13 years stomping around on the mainland and never get close to the walls.  See?  A few ""clear implications"" that are totally contrary to the text, and you can reconcile anything you want.",3
"About a year ago I started work on a problem that appeared to be very simple and turned out to be quite difficult.  I am wondering if anyone on the net has seen this problem and (hopefully) some published  solutions to it.  	The problem is to draw an outline of a surface defined by two roughly parallel cubic splines.  For inputs the problem essentially starts with two sets of points where each set of points is on the  edge of an object which we treat as two dimensional, i.e. only extant between the edges, but which exists in three dimensional space.  To draw  the object we   1) fit a cubic spline through the points.  Each spline is effectively 	computed as a sequence of line segments approximating the         curve.  Each spline has an equal number of segments.  We assume 	that the nth segment along each spline is roughly, but not 	exactly, the same distance along each spline by any reasonable 	measure. 2) Take each segment (n) along each spline and match it to the nth segment 	of the opposing spline.  Use the pair of segments to form two 	triangles which will be filled in to color the surface. 3) Depth sort the triangles 4) Take each triangle in sorted order, project onto a 2D pixmap, draw 	and color the triangle.  Take the edge of the triangle that is 	along the edge of the surface and draw a line along that edge 	colored with a special ""edge color""  	It is the edge coloring in step 4 that is at the heart of the problem.  The idea is to effectively outline the edge of the surface. The net result however generally has lots of breaks and gaps in the edge of the surface.  The reasons for this are fairly complicated. They involve both rasterization problems and problems resulting from the projecting the splines.  If anything about this problem sounds familiar we would appreciate knowing about other work in this area.",1
"I need the file format for cc:Mail file formats - it seems to be PCX-based, but with a twist: only the first page of a multi-page fax will come out readable. The other pages disappear. The format seems to be 'proprietary'.  Anybody got any clues? I have to give my email FAXes to my secretary in order to get 'em unscrambled. I want a filter from cc:Mail to .p[nb]m.  Come to think of it, p[nb]m to cc:Mail would be nice too.",1
"I've got a 386 20Hz computer which is under warranty and my Trident 8900C video card is starting to play-up (surprise, surprise). Therefore I'm going to try to exchange it for a better card.  The BIG Question is:  Which video card is high quality and with an acceptable price tag (on student budget) ???",1
"Please do! And if you don't want to post it here, email to me :-) I don't know how this discussion is appreciated here. I hate 'invading' newsgroups with themes of limited interest :-)",3
"Actually, my atheism is based on ignorance.  Ignorance of the   existence of any god.  Don't fall into the ""atheists don't believe   because of their pride"" mistake.   /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\   Bob Beauchaine bobbe@vice.ICO.TEK.COM   They said that Queens could stay, they blew the Bronx away, and sank Manhattan out at sea.",0
"You might be sure, but you would also be wrong.",3
"My package is based on several articles about non-standard radiosity and some unpublished methods.  The main articles are:  -  Cohen, Chen, Wallace, Greenberg :      A Progressive Refinement Approach to fast Radiosity Image Generation      Computer Graphics (SIGGRAPH), V. 22(No. 4), pp 75-84, August 1988  -  Silion, Puech     A General Two-Pass Method Integrating Specular and Diffuse Reflection     Computer Graphics (SIGGRAPH), V23(No. 3), pp335-344, July 1989    I do not use hemi-cubes. I have no special hardware (SUN SPARCstation).   Use anonymous as username and your e-mail address as password.    Stephan.   ----------------------------------------------------------------------------   Stephan Amann     SIG Computer Graphics, University of Berne, Switzerland            amann@iam.unibe.ch 	   Tel +41 31 65 46 79	   Fax +41 31 65 39 65   Projects: Radiosity, Raytracing, Computer Graphics",1
"Sorry I missed you Raymond, I was just out in Dahlgren last month...  I'm the Virtual Reality market manager for Silicon Graphics, so perhaps I can help a little.    Unfortunately, while SGI systems were used to create the special effects for both Terminator 2 and Lawnmower Man, those are film-quality computer graphics, rendered in software and written to film a frame at a time.  Each frame of computer animation for those films took hours to render on high-end parallel processing computer systems. Thus, that level of graphics would be difficult, if not impossible, to acheive in real time (30 frames per second).     It depends upon how serious you are and how advanced your application is. True immersive visualization (VR), requires the rendering of complex visual databases at anywhere from 20 to 60 newly rendered frames per second.  This is a similar requirement to that of traditional flight simulators for pilot training. If the frame rate is too low, the user notices the stepping of the frames as they move their head rapidly around the scene, so the motion of the graphics is not smooth and contiguous.  Thus the graphics system must be powerful enough to sustain high frame rates while rendering complex data representations.  Additionally, the frame rate must be constant.  If the system renders 15 frames per second at one point, then 60 frames per second the next (perhaps due to the scene in the new viewing direction being simpler than what was visible before), the user can get heavily distracted by the medium (the graphics computer) rather than focusing on the data. To maintain a constant frame rate, the system must be able to run in real-time.  UNIX in general does not support real-time operation, but Silicon Graphics has modified the UNIX kernel for its multi-processor systems to be able to support real-time operation, bypassing the usual UNIX process priority-management schemes.  Uniprocessor systems running UNIX cannot fundamentally support real-time operation (not Sun SPARC10, not HP 700 Series systems, not IBM RS-6000, not even SGI's uniprocessor systems like Indigo or Crimson). Only our multiprocessor Onyx and Challenge systems support real-time operation due to their Symmetric Multi-Processing (SMP) shared-memory architecture.  From a graphics perspective, rendering complex virtual environments requires advanced rendering techniques like texture mapping and real-time multi-sample anti-aliasing.  Of all of the general purpose graphics systems on the market today, only Crimson RealityEngine and Onyx RealityEngine2 systems fully support these capabilities. The anti-aliasing is particularly important, as the crawling jagged edges of aliased polygons is an unfortunate distraction when immersed in a virtual environment.    You can use the general purpose graphics libraries listed above to develop VR applications, but that is starting at a pretty low level. There are off-the- shelf software packages available to get you going much faster, being targeted directly at the VR application developer. Some of the most popular are (in no particular order):  	- Division Inc.		    (Redwood City, CA) - dVS 	- Sens8 Inc.		    (Sausalito, CA)    - WorldToolKit 	- Naval Postgraduate School (Monterey, CA)     - NPSnet (FREE!) 	- Gemini Technology Corp    (Irvine, CA)       - GVS Simation Series 	- Paradigm Simulation Inc.  (Dallas, TX)       - VisionWorks, AudioWorks 	- Silicon Graphics Inc.	    (Mountain View,CA) - IRIS Performer  There are some others, but not off the top of my head...  	  There are too many to list here, but here is a smattering:  	- Fake Space Labs	    (Menlo Park,CA)    - BOOM 	- Virtual Technologies Inc. (Stanford, CA)     - CyberGlove 	- Digital Image Design	    (New York, NY)     - The Cricket (3D input) 	- Kaiser Electro Optics	    (Carlsbad, CA)     - Sim Eye Helmet Displays 	- Virtual Research	    (Sunnyvale, CA)    - Flight Helmet display 	- Virtual Reality Inc.	    (Pleasantville,NY) - Head Mtd Displays, s/w 	- Software Systems	    (San Jose, CA)     - 3D Modeling software 	- etc., etc., etc.     Read some of the VR books on the market:  	- Virtual Reality - Ken Pimental and Ken Texiera (sp?) 	- Virtual Mirage 	- Artificial Reality - Myron Kreuger 	- etc.  Or check out the newsgroup sci.virtual_worlds  Feel free to contact me for more info.  Regards,  Josh  --",1
"If you force me to do something, am I morally responsible for it?   Well, make up your mind.    Is it to be ""instinctive not to murder"" or not?   It's not even correct.    Animals of the same species do kill one another.   Sigh.   I wonder how many times we have been round this loop.  I think that instinctive bahaviour has no moral significance. I am quite prepared to believe that higher animals, such as primates, have the beginnings of a moral sense, since they seem to exhibit self-awareness.   So what?     Are you trying to say that some killing in animals has a moral significance and some does not?   Is this your natural morality>    Are you blind?   What do you think that this sentence means?  	""There must be the possibility that the organism - it's not  	just people we are talking about - can consider alternatives.""  What would that imply?   I find the fact that they do to be significant.",0
"Here are some recent observations taken by the Hubble Space Telescope:       o The Faint Object Spectrograph (FOS) was used to make ultraviolet        observations of both the planet Pluto, and its moon Charon. The        peakups were successful. The observations were executed as        scheduled, and no problems were reported.       o Observations were made using the High Speed Photometer of the Planet        Uranus during an occultation by a faint star in Capricornus. These        observations will help in our understanding of the planet's        atmospheric radiative and dynamical processes. This event occurred        close to the last quarter moon, and special arrangements had to be        made to modify the lunar limit tests to allow these observations.        The observations are currently being reviewed, and all the        observations looked okay.",2
I guess that's why scientists probably aren't mentioned either.  Or stock brokers.  Or television repairmen.    It's precious to know just how deep the brainwashing from childhood ( that it takes to progress a religion ) cleans away a very substantial part of the reasoning neurons.  But don't mind me;  I don't exist.,0
"HI All, Can someone point me towards some articles on 'boids' or flocking algorithms... ?  Also, articles on particle animation formulas would be nice...  ________________________________________________________________________  \________________________________________________________________________\| ---  þ DeLuxeý 1.25 #8086 þ Head of Co*& XV$# Hi This is a signature virus. Co",1
"Seems he didn't understand anything about realities, liar, lunatic or the real thing is a very narrow view of the possibilities of Jesus message.  Sigh, it seems religion makes your mind/brain filter out anything that does not fit into your personal scheme.   So anyone that thinks the possibilities with Jesus is bound to the classical Lewis notion of 'liar, lunatic or saint' is indeed bound to become a Christian.  Cheers, Kent",0
"How could this possibly be ""environmental vandalism"" when there is no ""environment"" to vandalize up there?  Since the advertising ""is just to help defray costs"", it's certainly no surprise that ""the taxpayers would bear most of the expense"".  Sounds like a good idea to me, since the taxpayers would bear _all_ of the expense if they didn't do the advertising.   Great idea, they should have done it long ago.   I can't believe that a mile-long billboard would have any significant effect on the overall sky brightness.  Venus is visible during the day, but nobody complains about that.  Besides, it's in LEO, so it would only be visible during twilight when the sky is already bright, and even if it would have some miniscule impact, it would be only for a short time as it goes zipping across the sky.   No doubt.  People are always looking for something to protest about, so it would be no surprise.   Well, look on the, er, bright side.  Imagine the looks on the faces of people in primitive tribes out in the middle of nowhere as they look up and see a can of Budweiser flying across the sky... :-D  --",2
"As I was created in the image of Gaea, therefore I must be the pinnacle of creation, She which Creates, She which Births, She which Continues.  Or, to cut all the religious crap, I'm a woman, thanks. And it's sexism that started me on the road to atheism.  --  Maddi Hausmann                       madhaus@netcom.com Centigram Communications Corp        San Jose California  408/428-3553",0
"Also remember that every dollar spent keeping one spacecraft in safe mode (probably a spin-stabilized sun-pointing orientation) is a dollar not spent on mission analysis for a newer spacecraft.  In order to turn the spacecraft back on, you either need to insure that the Ops guys will be available, or you need to retrain a new team.  Having said that, there are some spacecraft that do what you have proposed. Many of the operational satellites Goddard flies (like the Tiros NOAA  series) require more than one satellite in orbit for an operational set. Extras which get replaced on-orbit are powered into a ""standby"" mode for use in an emergency.  In that case, however, the same ops team is still required to fly the operational birds; so the standby maintenance is relatively cheap.  Finally, Pat's explanation (some spacecraft require continuous maintenance to stay under control) is also right on the mark.  I suggested a spin- stabilized control mode because it would require little power or  maintenance, but it still might require some momentum dumping from time to time.  In the end, it *is* a political decision (since the difference is money), but there is some technical rationale behind the decision.",2
"My turn to jump in! :)   I think you mean circular, not recursive, but that is semantics. Recursiveness has no problems, it is just horribly inefficient (just ask any assembly programmer.)   The oft-quoted line that says people should be guaranteed life, liberty and the pursuit of happiness as inalienable rights, is a complete lie and deception, as the very authors of that line were in the process of proving.  Liberty is never free, it is always purchased at some cost,  almost always at the cost to another.  Whos liberty is more inalienable? Similarly for right of life.  When one person must die if he is to save another, or even a group of others, whos life is more inalienable?   That leads into the classic question of the value of the death penalty,  especially for serial killers.  Whos life and liberty is more valuable, the serial killer, or the victim?  According to that beautiful line, those two rights should be completely inviolate, that is, noone should be able to remove them.  This _includes_ government.  Admittedly the serial killer has restricted some people's life and/or liberty, but is not his own life/liberty inviolate also?  According to the declaration of independence, it is.   Oooh, I like that.  It means that killing an infant is not murder because it cannot be against its will.  Reason, an infant has no will as such.  Similarly for people who are brain dead (easier to see), in a coma, etc.  Also, under current law, accidental killing is still murder.  How will you include that?   The only real golden rule in life is, he who has the gold, makes the rules.  I.e. Might Makes Right.  That is survival.  Now what is wrong with that?   If you mean the golden rule as I stated, yes, almost every system as implemented has used that in reality.  Sorry, I don't deal as much in fiction, as I do in reality.     WELCOME TO OZLAND!!!!!!! :)  What is NOT arbitrary?  If you can find some part of society, some societal rules, morals, etc. that are not arbitrary, please tell me.  I don't think there are any.  Sounds like euphemisms to me.  The difference seems to be, that objective is some reasoning that I like, while arbitrary is some reasoning that I don't like OR don't understand.",0
"Hello,      I am searching for rendering software which has been developed to specifically take advantage of multi-processor computer systems. Any pointers to such software would be greatly appreciated.      Thanks.",1
"I am looking for comments from people who have used/heard about PhotoShop for Windows. Is it good? How does it compare to the Mac version? Is there a lot of bugs (I heard the Windows version needs ""fine-tuning)?  Any comments would be greatly appreciated..  Thank you.",1
"So why do I read in the papers that the Qumram texts had ""different versions"" of some OT texts.   Did I misunderstand?",0
"From what I read, the other fellow told Salameh how to put it together over the phone.  The bomb was supposedly some sort of sophisticated type, so to put a (I assume complicated) sophisticated bomb together from instructions _over the phone_ (!) one must need some brains I would expect.    I read this in an article in ""The Australian Muslim Times"", the newspaper (weekly) of the Australian Muslim community.    If this is true, perhaps one of the Muslims based in North America (if they see this posting) can elaborate.       I don't deny this fact.  The thrust of my argument here is that   (a) Salameh is, according to US law, innocent as he has not been found guilty in a court of law.  As his guilt has not been established, it is wrong for people to make postings based on this assumption.  (b) Islam teaches us _not_ to harm innocents.  If Muslims -- who perhaps have not realized that Islam teaches this -- perform such actions, it is _not_ _because_ of the teachings of Islam, but rather _in spite of_ and _in contradiction to_ the  teachings of Islam.  This is an important  distinction.  I should clarify what Muslims usually mean when they say ""Muslim"".  In general, anyone who calls themselves a ""Muslim"" and does not do or  outwardly profess something in clear contradiction with the essential teachings of Islam is considered to be a Muslim.  Thus, one who might do things contrary to Islam (through ignorance, for example) does not suddenly _not_ become a Muslim.  If one knowingly transgresses Islamic teachings and essential principles, though, then one does leave Islam.  The term ""Muslim"" is to be contrasted with ""Mu'min"", which means ""true believer"".  However, whether a Muslim is in reality a Mu'min is something known only by God (and perhaps that person himself).  So you will not find the term Mu'min used very much by Muslims in alt.atheism, because it is not known to anybody (except myself and God), whether I, for example, am a ""true believer"" or not.  For example, I could just be putting on a show here, and in reality believe something opposite to what I write here, without anyone knowing.  Thus, when we say ""Muslims"" we mean all those who outwardly profess to follow Islam, whether in practice they might, in ignorance, transgress Islamic teachings.  By ""Muslim"" we do not necessarily mean ""Mu'min"", or ""true believer"" in Islam.",0
"I will clarify my earlier quote.  God's laws were originally written for  the Israelites.  Jesus changed that fact by now making the Law applicable to all people, not just the Jews.  Gentiles could be part of the kingdom of Heaven through the saving grace of God.  I never said that the Law was made obsolete by Jesus.  If anything, He clarified the Law such as in that quote you made.  In the following verses, Jesus takes several portions of the Law and expounds upon the Law giving clearer meaning to what God intended.  If you'll notice, He also reams into the Pharisees for mucking up the Law with their own contrived interpretations.  They knew every letter of the Law and followed it with their heads but not their hearts.  That is why He points out that our righteousness must surpass that of the Pharisees in order to be accepted into the kingdom of Heaven.  People such as the Pharisees are those who really go out of their way to debate about the number of angels that can dance on the head of a pin. They had become legalistic, rule-makers - religious lawyers who practiced the letter of the Law but never really believed in it.    I think you will agree with me that there are in today's world, a lot of modern-day Pharisees who know the bible from end to end but do not believe in it.  What good is head knowledge if there is nothing in the heart?  Christianity is not just a set of rules; it's a lifestyle that changes one's perspectives and personal conduct.  And it demands obedience to God's will. Some people can live by it, but many others cannot or will not.  That is their choice and I have to respect it because God respects it too.  God be with you,",3
